player_name,challenge_wins,challenge_appearances,sit_outs,votes_for_bootee,votes_against_player,total_votes,tribal_council_appearances,total_days,exile_days,reward_chl_win,reward_chl_teammates,reward_chl_win_perc,immun_chl_win,immun_chl_teammates,immun_chl_win_perc,season,episode
Colby,1.0,1.0,,1.0,,5.0,1.0,3.0,,1.0,1.0,1.0,,,,2,12
Keith,0.0,1.0,,1.0,2.0,5.0,1.0,3.0,,,1.0,0.0,,,,2,12
Elisabeth,0.0,1.0,,0.0,,5.0,1.0,3.0,,,1.0,0.0,,,,2,12
Rodger,0.0,1.0,,0.0,3.0,5.0,1.0,3.0,,,1.0,0.0,,,,2,12
Tina,0.0,2.0,,1.0,,6.0,1.0,3.0,,,1.0,0.0,,1.0,0.0,2,11
Colby,2.0,2.0,,0.0,,6.0,1.0,3.0,,1.0,1.0,1.0,1.0,1.0,1.0,2,11
Keith,0.0,2.0,,1.0,,6.0,1.0,3.0,,,1.0,0.0,,1.0,0.0,2,11
Elisabeth,0.0,2.0,,1.0,,6.0,1.0,3.0,,,1.0,0.0,,1.0,0.0,2,11
Rodger,0.0,2.0,,1.0,2.0,6.0,1.0,3.0,,,1.0,0.0,,1.0,0.0,2,11
Amber,0.0,2.0,,0.0,4.0,6.0,1.0,3.0,,,1.0,0.0,,1.0,0.0,2,11
Tina,0.0,1.0,,1.0,,7.0,1.0,3.0,,,1.0,0.0,,,,2,10
Colby,1.0,1.0,,1.0,,7.0,1.0,3.0,,1.0,1.0,1.0,,,,2,10
Keith,0.0,1.0,,1.0,1.0,7.0,1.0,3.0,,,1.0,0.0,,,,2,10
Elisabeth,0.0,1.0,,0.0,,7.0,1.0,3.0,,,1.0,0.0,,,,2,10
Rodger,0.0,1.0,,0.0,,7.0,1.0,3.0,,,1.0,0.0,,,,2,10
Amber,0.0,1.0,,1.0,2.0,7.0,1.0,3.0,,,1.0,0.0,,,,2,10
Nick,0.0,1.0,,0.0,4.0,7.0,1.0,3.0,,,1.0,0.0,,,,2,10
Tina,0.0,1.5,,1.0,,8.0,1.0,3.0,,,2.0,0.0,,1.0,0.0,2,9
Colby,0.5,1.5,,1.0,,8.0,1.0,3.0,,1.0,2.0,0.5,,1.0,0.0,2,9
Keith,0.0,1.5,,1.0,,8.0,1.0,3.0,,,2.0,0.0,,1.0,0.0,2,9
Elisabeth,0.0,1.5,,1.0,2.0,8.0,1.0,3.0,,,2.0,0.0,,1.0,0.0,2,9
Rodger,0.0,1.5,,1.0,,8.0,1.0,3.0,,,2.0,0.0,,1.0,0.0,2,9
Amber,0.0,1.5,,0.0,,8.0,1.0,3.0,,,2.0,0.0,,1.0,0.0,2,9
Nick,1.0,1.5,,1.0,,8.0,1.0,3.0,,,2.0,0.0,1.0,1.0,1.0,2,9
Jerri,0.5,1.5,,0.0,6.0,8.0,1.0,3.0,,1.0,2.0,0.5,,1.0,0.0,2,9
Tina,0.0,2.0,,1.0,,9.0,1.0,3.0,,,1.0,0.0,,1.0,0.0,2,8
Colby,0.0,2.0,,1.0,,9.0,1.0,3.0,,,1.0,0.0,,1.0,0.0,2,8
Keith,1.0,2.0,,1.0,,9.0,1.0,3.0,,,1.0,0.0,1.0,1.0,1.0,2,8
Elisabeth,0.0,2.0,,0.0,,9.0,1.0,3.0,,,1.0,0.0,,1.0,0.0,2,8
Rodger,0.0,2.0,,0.0,,9.0,1.0,3.0,,,1.0,0.0,,1.0,0.0,2,8
Amber,0.0,2.0,,1.0,,9.0,1.0,3.0,,,1.0,0.0,,1.0,0.0,2,8
Nick,0.0,2.0,,0.0,,9.0,1.0,3.0,,,1.0,0.0,,1.0,0.0,2,8
Jerri,1.0,2.0,,1.0,4.0,9.0,1.0,3.0,,1.0,1.0,1.0,,1.0,0.0,2,8
Alicia,0.0,2.0,,0.0,5.0,9.0,1.0,3.0,,,1.0,0.0,,1.0,0.0,2,8
Tina,0.0,1.0,,1.0,,10.0,1.0,3.0,,0.0,1.0,0.0,,,,2,7
Colby,0.0,1.0,,1.0,5.0,10.0,1.0,3.0,,0.0,1.0,0.0,,,,2,7
Keith,1.0,1.0,,1.0,,10.0,1.0,3.0,,1.0,1.0,1.0,,,,2,7
Elisabeth,0.0,1.0,,0.0,,10.0,1.0,3.0,,0.0,1.0,0.0,,,,2,7
Rodger,0.0,1.0,,0.0,,10.0,1.0,3.0,,0.0,1.0,0.0,,,,2,7
Amber,0.0,1.0,,1.0,,10.0,1.0,3.0,,0.0,1.0,0.0,,,,2,7
Nick,0.0,1.0,,0.0,,10.0,1.0,3.0,,0.0,1.0,0.0,,,,2,7
Jerri,0.0,1.0,,1.0,,10.0,1.0,3.0,,0.0,1.0,0.0,,,,2,7
Alicia,0.0,1.0,,0.0,,10.0,1.0,3.0,,0.0,1.0,0.0,,,,2,7
Varner,0.0,1.0,,0.0,5.0,10.0,1.0,3.0,,0.0,1.0,0.0,,,,2,7
Tina,0.0,0.2,,,,,,3.0,,0.0,5.0,0.0,,,,2,6
Colby,0.0,0.2,,,,,,3.0,,0.0,5.0,0.0,,,,2,6
Keith,0.0,0.2,,,,,,3.0,,0.0,5.0,0.0,,,,2,6
Elisabeth,0.2,0.2,,,,,,3.0,,1.0,5.0,0.2,,,,2,6
Rodger,0.0,0.2,1.0,,,,,3.0,,,5.0,0.0,,,,2,6
Amber,0.0,0.2,,,,,,3.0,,0.0,5.0,0.0,,,,2,6
Nick,0.2,0.2,,,,,,3.0,,1.0,5.0,0.2,,,,2,6
Jerri,0.0,0.2,,,,,,3.0,,0.0,5.0,0.0,,,,2,6
Alicia,0.2,0.2,,,,,,3.0,,1.0,5.0,0.2,,,,2,6
Varner,0.2,0.2,,,,,,3.0,,1.0,5.0,0.2,,,,2,6
