episode,voted_off_next,total_days,exile_days,votes_for_bootee,votes_against_player,total_votes,tribal_council_appearances,challenge_wins,challenge_appearances,sit_outs,reward_chl_win,reward_chl_teammates,reward_chl_win_perc,immun_chl_win,immun_chl_teammates,immun_chl_win_perc,cumsum_total_days,cumsum_exile_days,cumsum_votes_for_bootee,cumsum_votes_against_player,cumsum_total_votes,cumsum_tribal_council_appearances,cumsum_challenge_wins,cumsum_challenge_appearances,cumsum_sit_outs,cumsum_reward_chl_win,cumsum_reward_chl_teammates,cumsum_reward_chl_win_perc,cumsum_immun_chl_win,cumsum_immun_chl_teammates,cumsum_immun_chl_win_perc
6,1,9.0,0.0,1.0,4.0,21.0,3.0,0.0,0.7773809523999999,0.0,0.0,21.0,0.0,0.0,12.0,0.0,18.0,0.0,3.0,4.0,44.0,6.0,0.0,1.3130952380999998,0.0,0.0,44.0,0.0,0.0,19.0,0.0
36,1,24.0,0.0,2.0,8.0,27.0,3.0,0.5595238096,4.9595238096,4.0,3.0,31.0,0.43452380960000003,1.0,27.0,0.125,108.0,0.0,6.0,10.0,61.0,7.0,3.8750000005,13.575000000500001,18.0,21.0,180.0,3.0000000005,7.0,140.0,0.875
66,0,33.0,0.0,6.0,2.0,49.0,7.0,3.5095238096,9.4595238096,0.0,7.0,34.0,2.9345238096,3.0,30.0,0.575,198.0,0.0,24.0,14.0,194.0,29.0,21.3535714293,37.9535714293,0.0,52.0,281.0,16.5535714293,26.0,227.0,4.8
66,0,33.0,0.0,7.0,0.0,49.0,7.0,1.3428571429,9.4595238096,1.0,4.0,34.0,0.7678571429000001,3.0,30.0,0.575,198.0,0.0,29.0,0.0,194.0,29.0,10.853571429,37.9535714293,9.0,34.0,281.0,6.053571429000001,26.0,227.0,4.8
66,0,33.0,0.0,7.0,0.0,49.0,7.0,2.8428571429,9.4595238096,1.0,6.0,34.0,2.2678571429,3.0,30.0,0.575,198.0,0.0,29.0,0.0,194.0,29.0,14.353571428999999,37.9535714293,9.0,39.0,281.0,9.553571429,26.0,227.0,4.8
3,1,6.0,0.0,1.0,5.0,15.0,2.0,0.0,0.4107142857,0.0,0.0,15.0,0.0,0.0,7.0,0.0,9.0,0.0,2.0,6.0,23.0,3.0,0.0,0.5357142857,0.0,0.0,23.0,0.0,0.0,7.0,0.0
1,0,3.0,0.0,0.0,5.0,8.0,1.0,0.0,0.125,0.0,0.0,8.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,5.0,8.0,1.0,0.0,0.125,0.0,0.0,8.0,0.0,0.0,0.0,0.0
66,1,33.0,0.0,3.0,6.0,48.0,6.0,1.6166666667,9.4595238096,4.0,2.0,34.0,0.29166666669999997,3.0,30.0,1.325,198.0,0.0,15.0,8.0,186.0,22.0,7.7250000003,37.9535714293,32.0,20.0,281.0,2.8750000002999996,20.0,227.0,4.85
10,1,12.0,0.0,3.0,11.0,26.0,4.0,0.0,0.9773809524,0.0,0.0,21.0,0.0,0.0,17.0,0.0,30.0,0.0,9.0,25.0,70.0,10.0,0.0,2.2904761904999997,0.0,0.0,65.0,0.0,0.0,36.0,0.0
66,1,33.0,0.0,7.0,4.0,69.0,9.0,0.75,9.4773809524,3.0,1.0,34.0,0.5,1.0,30.0,0.25,198.0,0.0,36.0,13.0,398.0,52.0,3.0,38.132142857299996,21.0,3.0,281.0,1.5,6.0,227.0,1.5
55,1,30.0,0.0,3.0,5.0,42.0,5.0,3.0095238096,8.4595238096,3.0,3.0,34.0,0.43452380960000003,5.0,29.0,2.575,165.0,0.0,12.0,5.0,138.0,16.0,12.6440476197,28.4940476197,19.0,27.0,247.0,3.8690476197000003,26.0,197.0,8.775
66,0,33.0,0.0,8.0,2.0,69.0,9.0,1.45,9.4773809524,2.0,0.0,34.0,0.0,3.0,29.0,1.45,198.0,0.0,41.0,4.0,398.0,52.0,4.1,38.132142857299996,13.0,0.0,281.0,0.0,15.0,217.0,4.1
45,1,27.0,0.0,3.0,8.0,35.0,4.0,0.9595238096,6.4595238096,2.0,3.0,33.0,0.43452380960000003,3.0,28.0,0.525,135.0,0.0,10.0,10.0,96.0,11.0,7.0345238101000005,20.0345238101,9.0,24.0,213.0,3.4345238101000004,21.0,168.0,3.6
66,0,33.0,0.0,6.0,0.0,42.0,6.0,3.1833333333000002,8.1273809523,0.0,6.0,49.0,2.8166666666999998,2.0,27.0,0.36666666670000003,198.0,0.0,35.0,0.0,250.0,35.0,12.5999999997,27.6988095231,0.0,30.0,372.0,9.9000000003,15.0,208.0,2.7000000003
